PDB,resolution,year,-logKd/Ki,Kd/Ki,ligand name
1d5r,2.10,1999,1.82,Ki=15mM,1d5r
1y1m,1.80,2005,1.82,Ki=15.3mM,1y1m
3eqb,2.62,2008,1.82,IC50=15mM,3eqb
4ahv,1.80,2012,1.82,Kd=15mM,3vq4
1rdn,1.80,1996,1.84,Ki=14.4mM,1rdn
1fd7,1.80,2000,1.85,IC50=14mM,1fd7
3khv,2.35,2009,1.85,Ki=13.99mM,3khv
1mwt,2.45,2002,1.88,Kd=13.3mM,1mwt
1tnl,1.90,1994,1.88,Ki=13.3mM,1tnl
2ay2,2.40,1999,1.88,Kd=13.1mM,2ay2
4x8s,2.10,2015,1.89,Ki=13mM,4x8s
1f2p,1.80,2001,1.90,Ki=12.7mM,1f2p
4mrh,1.12,2014,1.90,Kd=12.6mM,4mrd
1f2o,1.70,2001,1.91,Ki=12.4mM,1f2o
1efi,1.60,2000,1.92,IC50=12mM,1efi
3ehn,2.80,2009,1.92,Kd=12mM,3ehn
4bh3,2.00,2013,1.92,Kd=12mM,4bgw
2rjr,2.10,2008,1.94,IC50=11.6mM,2qve
5nn4,1.83,2017,1.94,Kd=11.57mM,5nn4
4mrf,1.55,2014,1.95,Kd=11.2mM,4mrd
6abk,1.58,2019,1.95,Kd=11.3mM,6aac
1tnj,1.80,1994,1.96,Ki=11.0mM,1tnj
2gga,1.70,2006,1.96,IC50=11mM,2gga
5oxn,2.20,2018,1.96,Kd=10.95mM,5oxk
1wdq,1.28,2005,1.98,Kd=10.45mM,1wdq
6h7u,2.80,2018,1.98,IC50=10.4mM,6gz9
6hzp,2.50,2018,1.98,IC50=10.4mM,6gz9
3i3d,2.20,2010,1.99,Ki=10.3mM,3i3b
1gbt,2.00,1994,2.00,Ki=10mM,1gbt
1ing,2.40,1996,2.00,IC50>10mM,1ing
2bmv,2.11,2006,2.00,Kd=10mM,2bmv
2hds,1.16,2006,2.00,Ki=10mM,2hds
2r58,2.00,2007,2.00,Kd=10mM,2r58
3c2f,2.35,2008,2.00,Kd=10.1mM,3c2f
3g2y,1.31,2009,2.00,Ki=10mM,3g2y
3pce,2.06,1998,2.00,Ki=10mM,3pce
3rv3,1.91,2011,2.00,IC50=10mM,3rup
4awj,2.50,2012,2.00,Kd~10000uM,3ztc
4ctk,1.53,2014,2.00,IC50>10mM,4ctj
4kz5,1.35,2014,2.00,Ki<10mM,4kz3
4qsu,1.90,2014,2.00,Kd=10mM,4qsu
4qsv,1.90,2014,2.00,Kd=10mM,4qsv
4u58,2.56,2015,2.00,Kd>10.0mM,4u54
4y4g,1.44,2016,2.00,Kd>10.0mM,4y38
6evq,NMR,2018,2.00,Kd=10mM,6evq
6ra1,2.00,2019,2.00,Kd>10mM,6r8l
4ty8,2.78,2015,2.03,Kd=9.31mM,4txs
5ekx,1.76,2016,2.03,IC50=9.3mM,5e9q
5nzq,1.50,2017,2.03,Kd=9.3mM,5nzq
2ks9,NMR,2010,2.04,Ki=9.02mM,2ks9
1jfh,2.03,1998,2.05,Ki=9mM,1jfh
4e4a,1.45,2012,2.05,IC50=9mM,4e3d
4ty9,2.78,2015,2.05,Kd=8.96mM,4txs
4x8t,2.20,2015,2.05,Kd=8.9mM,4x8s
5eiw,1.61,2016,2.05,IC50=9mM,5e9q
1qq9,1.53,2000,2.06,Ki=8.7mM,1qq9
1rdi,1.80,1996,2.06,Ki=8.8mM,1rdi
2zg3,3.00,2008,2.06,Kd=8.7mM,2zg1
4u54,2.41,2015,2.06,Kd=8.7mM,4u54
3ao4,1.95,2011,2.07,Kd=8.5mM,3ao1
4b0c,2.70,2012,2.07,Kd=8.5mM,4b0b
3rxp,1.60,2011,2.08,IC50=8.3mM,3rxp
5tyh,2.10,2017,2.08,IC50=8.4mM,5t2y
1njj,2.45,2003,2.10,Ki=8mM,1njj
2zg1,2.70,2008,2.10,Kd=8.0mM,2zg1
4aml,1.60,2012,2.10,IC50=8mM,2uwg
4cs9,2.01,2014,2.10,Kd=8mM,4cs8
6r49,2.21,2019,2.10,IC50=8mM,6r49
3uf9,2.68,2012,2.11,Ki=7.78mM,3uf9
6aao,1.40,2019,2.11,Kd=7.8mM,6aac
1qx1,1.30,2003,2.12,Ki=7.5mM,1qx1
2w8w,2.14,2009,2.12,Kd=7.5mM,2w8j
3gv9,1.80,2009,2.12,Ki=7.5mM,3gqz
6r9u,1.26,2019,2.12,Kd=7.5mM,6r8l
1p2g,2.30,2003,2.13,Ki=7.4mM,1p2g
6gz9,3.10,2018,2.13,IC50=7.4mM,6gz9
6abx,1.70,2019,2.14,Ki=7.19mM,6abx
6dim,1.81,2019,2.14,IC50=7.2mM,6dhu
6djd,1.78,2019,2.14,IC50=7.2mM,6dhu
1uxb,1.75,2004,2.15,Kd=7mM,1uxb
3rxg,1.70,2011,2.15,IC50=7.1mM,3rxg
4b0j,2.50,2012,2.15,Kd=7.1mM,4b0b
4q90,1.54,2015,2.15,Ki=7.0mM,4q7p
5cs3,2.50,2015,2.15,Kd=7.0mM,5cs3
6fap,2.70,2018,2.15,Kd=7.1mM,6fap
6fi1,2.70,2018,2.15,Kd=7.1mM,6fap
6r9s,2.00,2019,2.15,Kd=7.1mM,6r8l
2ay9,2.50,1999,2.16,Kd=6.9mM,2ay9
4tim,2.40,1992,2.16,Ki=6.9mM,4tim
5fe6,1.77,2016,2.16,Kd=6910uM,5fdz
6ghj,2.26,2018,2.16,Kd=6.89mM,6ghj
3gqz,1.80,2009,2.17,Ki=6.7mM,3gqz
4y3j,1.31,2016,2.17,Kd=6.8mM,4y38
5oxk,2.38,2018,2.17,Kd=6.82mM,5oxk
5z5f,2.10,2018,2.17,Ki=6.8mM,5z5f
6gmx,2.53,2018,2.17,Kd=6.7mM,6gmn
3l7d,2.00,2010,2.18,Ki=6.55mM,3l79
6g47,1.50,2018,2.18,Kd=6.60mM,6g47
4ahr,1.90,2012,2.19,Kd=6.5mM,3vq4
4ahs,1.75,2012,2.19,Kd=6.4mM,3vq4
4amx,2.10,2013,2.19,Ki=6.5mM,2x2i
4jdf,1.69,2013,2.19,Kd=6.4mM,4jdf
4mre,1.58,2014,2.19,Kd=6.4mM,4mrd
5nzp,1.30,2017,2.19,Kd=6.5mM,5nzp
1w1v,1.85,2005,2.20,IC50=6.3mM,1w1v
2vvo,1.85,2008,2.20,IC50=6.3mM,2vvo
4eh8,2.20,2012,2.20,IC50=6247uM,4eh2
1x8d,1.80,2005,2.21,Kd=6.16mM,1x8d
4g0z,1.75,2012,2.21,Kd=6.13mM,4g0p
1icj,1.90,1999,2.22,Ki=6mM,1icj
1m0n,2.20,2002,2.22,Ki=6.0mM,1m0n
2aac,1.60,1997,2.22,Kd=6mM,2aac
4aci,1.65,2012,2.22,Kd=6mM,4aci
4uru,2.83,2015,2.22,Kd=6.0mM,4uru
4ury,2.47,2015,2.22,Kd=6.0mM,4uru
4x11,2.30,2015,2.22,Kd=6mM,4x0z
5fsb,1.65,2017,2.22,Kd=6.0mM,5fsb
5hcl,1.50,2017,2.22,IC50=6mM,5hcl
5jqb,2.68,2016,2.22,Kd=6mM,5jq3
1ajp,2.31,1997,2.23,Ki=5.85mM,1ajp
2igv,1.67,2007,2.23,Kd=5.9mM,2igv
3ao5,1.80,2011,2.23,Kd=5.9mM,3ao1
3i3b,2.20,2010,2.23,Ki=5.9mM,3i3b
1rdl,1.70,1996,2.24,Ki=5.7mM,1rdl
2ay8,2.20,1999,2.24,Kd=5.8mM,2ay8
2os9,1.70,2007,2.24,IC50=5.7mM,2orj
5f6v,1.49,2016,2.24,IC50=5.8mM,5f6d
5m9w,1.21,2017,2.24,Kd=5.7mM,5lvd
5nzo,1.29,2017,2.24,Kd=5.8mM,5nzo
1ukt,2.20,2004,2.25,IC50>5600uM,1ukt
1ew8,2.20,2002,2.26,Ki=5.5mM,1ew8
3ao1,1.90,2011,2.26,Kd=5.5mM,3ao1
4eh9,2.10,2012,2.26,IC50=5453uM,4eh2
4np2,1.75,2014,2.26,Kd=5.5mM,4mrd
5v6u,2.80,2017,2.26,Ki=5470uM,5v6u
1hge,2.60,1994,2.27,Kd=5.4mM,1hge
1uto,1.15,2004,2.27,Kd=5.32mM,1uto
4ahu,1.90,2012,2.27,Kd=5.4mM,3vq4
4mfe,2.61,2013,2.27,Ki=5.4mM,4mfe
1ps3,1.80,2003,2.28,Ki=5.2mM,1ps3
2rjs,2.40,2008,2.28,IC50=5.3mM,2qve
3fu0,1.80,2009,2.28,IC50=5308uM,3fts
3ip8,1.50,2009,2.28,Ki=5.2mM,3ip8
2ay1,2.20,1999,2.29,Kd=5.14mM,2ay1
4ddk,1.75,2013,2.29,Kd=5.1mM,4ddh
4ehv,1.60,2012,2.29,IC50=5103uM,4eh2
5fnj,1.67,2016,2.29,Kd=5150uM,5eh5
1hyv,1.70,2001,2.30,IC50>5mM,1hyv
1inh,2.40,1996,2.30,IC50=5mM,1inh
1jdj,2.20,2002,2.30,IC50=5mM,1jdj
1n1g,2.50,2003,2.30,IC50~5mM,1n1g
1o4g,1.55,2004,2.30,IC50>5mM,1o4g
1uxa,1.50,2004,2.30,Kd=5mM,1uxa
1w1p,2.10,2005,2.30,IC50=5.0mM,1w1p
2ay7,2.40,1999,2.30,Kd=5.0mM,2ay7
2hdu,1.49,2006,2.30,Ki=5mM,2hdu
2xix,2.40,2011,2.30,IC50>5000uM,2xix
2xlc,2.70,2011,2.30,Ki~5mM,2xlc
3dyo,1.80,2008,2.30,Ki=5.0mM,3dyo
3kgq,1.70,2010,2.30,Ki=5mM,3kgq
3mhw,1.45,2010,2.30,Ki=5.03mM,3mhw
3pcg,1.96,1998,2.30,Ki=5mM,3pcg
3rv4,1.98,2011,2.30,Ki=5mM,3rup
4b6e,2.46,2012,2.30,IC50>5mM,4b6e
4e3d,1.60,2012,2.30,IC50=5mM,4e3d
4g0y,1.65,2012,2.30,Kd=4.99mM,4g0p
4jsz,1.90,2013,2.30,Ki=5000uM,4js6
4led,2.37,2014,2.30,Kd~5mM,4led
4wh7,1.62,2014,2.30,IC50>5mM,4wh7
5enc,1.59,2016,2.30,IC50>5mM,5enc
5eni,1.69,2016,2.30,IC50>5mM,5eni
5enj,1.63,2016,2.30,IC50>5mM,5enj
5g42,1.72,2016,2.30,Kd>5mM,5g42
6au2,1.63,2017,2.30,Kd=5mM,6au2
6gmq,2.76,2018,2.30,Kd=5.0mM,6gmn
1m0o,2.40,2002,2.31,Ki=4.9mM,1m0o
4y0a,1.91,2015,2.31,Ki=4950uM,4y0a
5mz8,2.20,2017,2.31,Kd=4.9mM,5mz8
2qve,2.00,2008,2.32,IC50=4.8mM,2qve
5aol,1.50,2015,2.32,Kd=4800uM,5ab9
1z6d,1.54,2005,2.34,Ki=4.6mM,1z6d
4iie,2.00,2013,2.34,Ki=4.6mM,4iic
5elf,1.55,2016,2.34,Kd=4.57mM,5eld
1qi0,2.10,2000,2.35,Ki=4.5mM,1qi0
3gtc,1.90,2009,2.35,Ki=4.5mM,3gqz
4k3k,1.85,2013,2.35,IC50=4.44mM,4k3k
4y3y,1.35,2016,2.35,Kd=4.5mM,4y38
1o4j,1.70,2004,2.36,IC50=4.4mM,1o4j
3g2z,1.50,2009,2.36,Ki=4.4mM,3g2y
5fsc,1.95,2017,2.36,Kd=4.4mM,5fsb
3t0d,1.93,2012,2.37,Ki=4.3mM,3t08
4jck,1.15,2013,2.37,Kd=4.3mM,4jc1
6rnt,1.80,1993,2.37,Kd=4.3mM,6rnt
3f6e,1.34,2008,2.38,Kd=4.14mM,3f6b
4aj2,1.75,2012,2.38,Kd=4200uM,4aj1
6md8,1.40,2019,2.38,Ki=4200uM,6efj
1f73,1.95,2000,2.39,Ki=4.1mM,1f73
1nwl,2.40,2003,2.39,Ki=4.1mM,1nwl
4nyt,2.25,2014,2.39,Kd=4.1mM,4nyt
4tya,2.94,2015,2.39,Kd=4.04mM,4txs
2wi1,2.30,2009,2.40,IC50>4000uM,2wi1
3dxg,1.39,2009,2.40,Ki=4.0mM,3dxg
3l7b,2.00,2010,2.40,Ki=4.01mM,3l79
3pcb,2.19,1998,2.40,Ki=4mM,3pcb
3t2t,1.90,2011,2.40,Kd>4mM,3t1l
4u5l,2.53,2015,2.40,Kd=4.0mM,4u54
4y38,1.10,2016,2.40,Kd=4mM,4y38
4zsm,1.96,2015,2.40,IC50~4mM,4zsm
1o4r,1.50,2004,2.41,IC50=3.9mM,1o4r
2wsx,3.50,2010,2.41,Kd=3.9mM,2wsx
4u5s,2.12,2015,2.41,Kd=3.9mM,4u54
6aaq,1.55,2019,2.41,Kd=3.9mM,6aac
4u5o,2.00,2015,2.42,Kd=3.8mM,4u54
5os3,1.81,2017,2.43,Kd=3753uM,5orl
6mli,1.88,2019,2.43,Kd=3.7mM,6mku
1o4h,2.25,2004,2.44,IC50=3.6mM,1o4h
1oba,2.45,2003,2.44,Kd=3.6mM,1oba
1t4s,2.80,2004,2.44,Ki=3.6mM,1t4s
2i2b,2.10,2007,2.44,Ki=3.6mM,2i2b
2xiy,2.20,2011,2.44,IC50=3600uM,2xix
3ked,2.30,2010,2.44,IC50=3.6mM,3ked
3l7c,1.93,2010,2.44,Ki=3.67mM,3l79
3mjl,1.90,2010,2.44,Ki=3.6mM,3mjl
4d62,2.50,2015,2.44,Kd=3.64mM,4d62
1gbq,NMR,1997,2.46,Kd=3.5mM,1gbq
1o4o,1.70,2004,2.46,IC50=3.5mM,1o4o
2aez,3.05,2006,2.46,Ki=3.5mM,2ade
3l79,1.86,2010,2.46,Ki=3.46mM,3l79
4ah9,1.70,2012,2.46,Kd=3.5mM,3vq4
4ddm,1.83,2013,2.46,Kd=3.5mM,4ddh
4eh6,2.10,2012,2.46,IC50=3471uM,4eh2
4x8u,2.10,2015,2.46,Ki=3.5mM,4x8s
5aqh,2.00,2016,2.46,Kd=3.5mM,5aqf
1tok,1.85,2004,2.47,Kd=3.4mM,1tok
1utl,1.70,2004,2.47,Kd=3.41mM,1utl
3rik,2.48,2012,2.47,IC50=3.4mM,3rik
4gne,1.47,2013,2.47,Kd=3.4mM,4gne
4y4j,1.03,2016,2.47,Kd=3.4mM,4y38
5dv4,1.80,2016,2.47,IC50=3370uM,5dv2
5jal,2.06,2016,2.47,Kd=3400uM,5jad
6fhq,1.95,2018,2.47,Kd=3.4mM,6fap
1gyx,1.35,2002,2.48,Ki=3.3mM,1gyx
4u5n,2.31,2015,2.48,Kd=3.3mM,4u54
4ze6,1.17,2016,2.48,Kd=3.3mM,4y38
5mn1,0.79,2017,2.48,Kd=3.3mM,5mn1
5mnb,0.94,2017,2.48,Kd=3.3mM,5mn1
5mnx,1.42,2017,2.48,Kd=3.3mM,5mn1
5mon,0.94,2017,2.48,Kd=3.3mM,5mn1
1o4q,1.70,2004,2.49,IC50=3.2mM,1o4q
4efk,1.70,2013,2.49,Kd=3.2mM,4ddh
4ej2,2.65,2012,2.49,Ki=3204uM,4ej2
4kz7,1.43,2014,2.49,Ki=3.2mM,4kz3
6c3n,2.53,2019,2.49,Kd=3.2mM,6c3l
1ai4,2.35,1997,2.50,Ki=3.13mM,1ai4
3g30,1.80,2009,2.51,Ki=3.1mM,3g2y
4ctj,1.47,2014,2.51,IC50=3.12mM,4ctj
6dji,1.75,2019,2.51,IC50=3.1mM,6dhu
1rq2,1.86,2004,2.52,IC50=3mM,1rq2
1wdr,1.35,2005,2.52,Kd=3.05mM,1wdr
3ad7,2.20,2010,2.52,Kd=3.01mM,3ad7
3bf1,2.30,2008,2.52,Kd=3mM,3bex
3fq7,2.15,2009,2.52,IC50=3mM,3fq7
3gr2,1.80,2009,2.52,Ki=3mM,3gqz
3mfv,1.90,2010,2.52,Ki=3000uM,3mfv
3vdb,2.05,2012,2.52,Ki=3.03mM,3vd4
4e3f,1.50,2012,2.52,IC50=3mM,4e3d
4g0q,1.80,2012,2.52,Kd=3.00mM,4g0p
4urz,2.24,2015,2.52,Kd=3.0mM,4uru
5f6d,1.55,2016,2.52,IC50>3mM,5f6d
5f6u,1.55,2016,2.52,IC50=3mM,5f6d
4hj2,2.10,2013,2.53,Kd=2.95mM,4hj2
1iup,1.60,2002,2.54,Ki=2.9mM,1iup
1il3,2.80,2002,2.55,IC50=2.8mM,1il3
1kf0,2.50,2002,2.55,Kd=2.80mM,1kf0
3b3s,1.18,2007,2.55,Ki=2800uM,3b3s
3ovn,1.95,2011,2.55,Kd=2.8mM,3ao1
5eif,1.50,2016,2.55,IC50=2.8mM,5e9q
5n53,1.48,2017,2.55,Kd=2.8mM,5n53
5os0,1.74,2017,2.55,Kd=2792uM,5orl
1gwv,2.50,2003,2.57,Kd=2.68mM,1gwv
2ria,1.80,2008,2.57,IC50=2.7mM,2ria
2wq4,1.42,2010,2.57,Kd=2700uM,2wq4
3kgp,2.35,2009,2.57,Ki=2.68mM,3kgp
5v4q,2.20,2017,2.57,Ki=2.7mM,5v4q
6poq,1.80,2019,2.57,Kd=2700uM,6pmf
2ay5,2.40,1999,2.59,Kd=2.6mM,2ay5
2jst,NMR,2008,2.59,Kd=2.6mM,2jst
3gvb,1.80,2009,2.59,Ki=2.6mM,3gqz
4o3a,1.80,2014,2.59,Ki=2.57mM,4o3a
4o3c,1.50,2014,2.59,Ki=2.57mM,4o3a
4wef,2.50,2015,2.59,Ki=2577uM,4wef
5tpb,2.60,2017,2.59,Kd=2.6mM,5tpb
1o4p,1.90,2004,2.60,IC50=2.5mM,1o4p
2c4v,2.50,2006,2.60,Ki=2.5mM,2c4v
2r5a,2.30,2007,2.60,Kd=2.5mM,2r58
3gwv,2.35,2009,2.60,IC50=2.54mM,3gwu
3rxf,1.70,2011,2.60,IC50=2.5mM,3rxf
4up5,1.65,2014,2.60,Kd=2.5mM,4up0
5g46,1.76,2016,2.60,Kd=2.5mM,5g42
6mia,1.40,2019,2.60,Ki=2540uM,6efj
1cze,2.40,2000,2.62,Kd=2.4mM,1cze
1w1y,1.85,2005,2.62,IC50=2.4mM,1w1y
2kfh,NMR,2009,2.62,Kd=2.4mM,2kff
3f37,1.54,2009,2.62,Kd=2.4mM,3f33
3f38,1.75,2009,2.62,Kd=2.4mM,3f33
3fk1,1.70,2009,2.62,Ki=2420uM,3fjx
3rxl,1.70,2011,2.62,IC50=2.4mM,3rxl
4lnf,2.95,2013,2.62,IC50=2.4mM,4lnf
4lno,2.90,2013,2.62,Kd=2.4mM,4lnf
5foo,2.10,2016,2.62,Ki=2.4mM,5foo
5lvd,1.25,2017,2.62,Kd=2.4mM,5lvd
1ajn,2.36,1997,2.63,Ki=2.32mM,1ajn
1g5f,1.80,2001,2.64,Ki=2.31mM,1g5f
1o4i,1.75,2004,2.64,IC50=2.3mM,1o4i
3p1d,1.86,2010,2.64,IC50=2.3mM,3p1d
4i8x,2.23,2013,2.64,Kd=2.3mM,4i8x
4q7w,1.45,2015,2.64,Ki=2300uM,4q7p
4q8y,1.45,2015,2.64,Ki=2300uM,4q7p
4ufl,2.40,2015,2.64,Ki=2.3mM,4ufh
6fhu,2.00,2018,2.64,Kd=2.3mM,6fap
5ey0,1.60,2016,2.65,Kd=2.26mM,5ey0
1il5,2.80,2002,2.66,IC50=2.2mM,1il5
3a1e,1.95,2009,2.66,Kd=2.2mM,3a1c
3rxb,1.70,2011,2.66,IC50=2.2mM,3rxb
4y2p,2.05,2015,2.66,IC50=2200uM,4y2j
5eld,1.40,2016,2.66,Kd=2.19mM,5eld
3lvw,2.50,2010,2.67,Ki=2.12mM,3lvv
6prt,1.30,2019,2.67,IC50=2120uM,6prt
1hgi,2.70,1994,2.68,Kd=2.1mM,1hgi
1o8b,1.25,2003,2.68,Ki=2.1mM,1o8b
2q72,1.70,2007,2.68,IC50=2.09mM,2q6h
3rxk,1.60,2011,2.68,IC50=2.1mM,3rxk
4b3c,1.90,2013,2.68,Kd=2.1mM,4b2i
4b3d,1.59,2013,2.68,Kd=2.1mM,4b2i
5aqj,1.96,2016,2.68,Kd=2100uM,5aqf
5aqp,2.08,2016,2.68,Kd=2.1mM,5aqf
3elc,2.50,2009,2.69,Kd=2.02mM,3elc
4usw,2.05,2014,2.69,Kd=2.03mM,4usu
5k5s,2.60,2016,2.69,IC50=2.04mM,5k5s
1br5,2.50,1998,2.70,Ki>2mM,1br5
1gym,2.20,1996,2.70,IC50=2mM,1gym
1lt5,1.70,1997,2.70,IC50=2mM,1lt5
1tc1,1.41,1999,2.70,IC50>2mM,1tc1
1ylv,2.15,2000,2.70,Ki=2.0mM,1ylv
2fzc,2.10,2006,2.70,Ki=1990uM,2fzc
2ha4,2.56,2006,2.70,Kd=2.0mM,2h9y
2krd,NMR,2010,2.70,Kd=2000uM,2krd
2ohk,2.20,2007,2.70,IC50~2000uM,2ohk
2ow6,1.19,2008,2.70,IC50=2mM,2ow6
2uyn,1.60,2007,2.70,Kd=2mM,2uyn
3bra,2.30,2008,2.70,Kd=2000uM,3bra
3ftz,2.00,2010,2.70,IC50>2mM,3fh5
3fud,2.20,2009,2.70,IC50=2000uM,3fts
3fuf,2.60,2009,2.70,IC50=2000uM,3fts
3fuh,1.80,2009,2.70,IC50=2000uM,3fts
3gk2,1.98,2009,2.70,Kd=2mM,3gk1
3gsg,2.10,2009,2.70,Ki=2mM,3gqz
3hvg,2.26,2009,2.70,IC50=2mM,3hvg
3rqw,2.91,2012,2.70,Kd=2mM,3rqw
3sl0,2.00,2011,2.70,Ki=2mM,3gmz
3zsw,1.80,2012,2.70,Kd>2000uM,3zcm
3zsz,2.00,2012,2.70,Kd>2000uM,3zcm
3zt1,1.75,2012,2.70,Kd>2000uM,3zcm
4h4b,2.90,2012,2.70,Ki=2.0mM,4h4b
4okp,1.37,2014,2.70,Ki<2mM,4okp
4old,1.48,2014,2.70,Ki>2mM,4okp
4wks,1.63,2014,2.70,Ki=2mM,4wks
4ypf,2.20,2015,2.70,IC50>2mM,4ypf
4yrc,2.10,2015,2.70,IC50>2mM,4yrc
4yrg,2.15,2015,2.70,IC50>2mM,4yrg
4yrr,2.30,2015,2.70,IC50>2mM,4yrr
5aok,1.35,2015,2.70,Kd>2000uM,5ab9
6fty,1.67,2018,2.70,Kd>2000uM,6fty
6nmb,2.30,2019,2.70,Ki=2.01mM,6nmb
4kpz,2.09,2014,2.71,IC50=1950uM,4knr
6poh,1.67,2019,2.71,Kd=1970uM,6pmf
